invoice_no;customer_id;gender;age;category;quantity;price;payment_method;invoice_date;shopping_mall;Total_Amount;year;month;YearMonth;Quarter_of_Year;Age_Group
I127733;C665777;Male;39;Books;5;75.75;Cash;24/08/2021;Kanyon;378.75;2021;8;2021-08;3;Adult
I202398;C256730;Male;53;Shoes;5;3000.85;Cash;26/01/2021;Zorlu Center;15004.25;2021;1;2021-01;1;Senior
I160585;C298229;Male;26;Cosmetics;2;81.32;Cash;5/02/2022;Metropol AVM;162.64;2022;2;2022-02;1;Adult
I771414;C183404;Male;63;Food & Beverage;3;15.69;Cash;9/12/2022;Forum Istanbul;47.07;2022;12;2022-12;4;Senior
I139520;C316398;Female;34;Clothing;5;1500.4;Cash;14/02/2021;Mall of Istanbul;7502;2021;2;2021-02;1;Adult
I291540;C557245;Male;25;Food & Beverage;1;5.23;Debit Card;17/07/2022;Kanyon;5.23;2022;7;2022-07;3;Adult
I798213;C662958;Female;20;Shoes;3;1800.51;Cash;3/01/2021;Metropol AVM;5401.53;2021;1;2021-01;1;Young
I232338;C545065;Female;18;Clothing;4;1200.32;Debit Card;22/09/2022;Metropol AVM;4801.28;2022;9;2022-09;3;Young
I267713;C284679;Male;53;Cosmetics;4;162.64;Credit Card;27/06/2021;Kanyon;650.56;2021;6;2021-06;2;Senior
I525798;C581947;Male;46;Cosmetics;4;162.64;Cash;3/02/2023;Mall of Istanbul;650.56;2023;2;2023-02;1;Senior
I353272;C199311;Female;34;Clothing;1;300.08;Credit Card;29/07/2021;Istinye Park;300.08;2021;7;2021-07;3;Adult
I165687;C206501;Female;61;Clothing;3;900.24;Cash;8/12/2022;Metropol AVM;2700.72;2022;12;2022-12;4;Senior
I169015;C726021;Female;38;Clothing;5;1500.4;Credit Card;11/08/2022;Mall of Istanbul;7502;2022;8;2022-08;3;Adult
I111305;C448846;Female;67;Food & Beverage;3;15.69;Cash;13/09/2021;Metropol AVM;47.07;2021;9;2021-09;3;Senior
I187171;C168663;Male;33;Toys;4;143.36;Credit Card;27/05/2022;Istinye Park;573.44;2022;5;2022-05;2;Adult
I148276;C616106;Female;63;Clothing;4;1200.32;Debit Card;7/12/2022;Zorlu Center;4801.28;2022;12;2022-12;4;Senior
I783231;C771066;Female;21;Clothing;5;1500.4;Debit Card;5/01/2022;Cevahir AVM;7502;2022;1;2022-01;1;Young
I313426;C101196;Female;41;Cosmetics;4;162.64;Debit Card;5/04/2022;Kanyon;650.56;2022;4;2022-04;2;Adult
I112291;C898405;Female;48;Food & Beverage;1;5.23;Credit Card;10/01/2022;Cevahir AVM;5.23;2022;1;2022-01;1;Senior
I402983;C372643;Male;27;Technology;1;1050;Debit Card;30/01/2022;Kanyon;1050;2022;1;2022-01;1;Adult
I155076;C195626;Female;22;Toys;5;179.2;Credit Card;21/12/2022;Kanyon;896;2022;12;2022-12;4;Young
I204056;C622748;Female;54;Clothing;4;1200.32;Credit Card;24/02/2021;Metropol AVM;4801.28;2021;2;2021-02;1;Senior
I218385;C290280;Female;51;Toys;1;35.84;Cash;19/07/2022;Metrocity;35.84;2022;7;2022-07;3;Senior
I198698;C281268;Female;29;Clothing;1;300.08;Debit Card;15/01/2023;Metropol AVM;300.08;2023;1;2023-01;1;Adult
I428118;C826744;Female;44;Shoes;2;1200.34;Credit Card;12/01/2023;Kanyon;2400.68;2023;1;2023-01;1;Adult
I204147;C252021;Female;20;Shoes;3;1800.51;Credit Card;5/11/2022;Kanyon;5401.53;2022;11;2022-11;4;Young
I361028;C647656;Female;59;Shoes;2;1200.34;Cash;23/07/2021;Metrocity;2400.68;2021;7;2021-07;3;Senior
I915945;C250065;Female;23;Clothing;4;1200.32;Credit Card;30/06/2022;Metropol AVM;4801.28;2022;6;2022-06;2;Young
I165461;C230766;Female;25;Clothing;1;300.08;Credit Card;1/11/2022;Emaar Square Mall;300.08;2022;11;2022-11;4;Adult
I762381;C243515;Male;63;Shoes;1;600.17;Cash;27/10/2022;Kanyon;600.17;2022;10;2022-10;4;Senior
I818298;C204632;Male;21;Clothing;5;1500.4;Debit Card;21/08/2022;Kanyon;7502;2022;8;2022-08;3;Young
I261290;C252598;Female;56;Clothing;3;900.24;Credit Card;13/03/2021;Cevahir AVM;2700.72;2021;3;2021-03;1;Senior
I215578;C866033;Male;39;Cosmetics;2;81.32;Credit Card;4/08/2022;Kanyon;162.64;2022;8;2022-08;3;Adult
I136666;C288416;Male;50;Food & Beverage;2;10.46;Credit Card;1/04/2021;Mall of Istanbul;20.92;2021;4;2021-04;2;Senior
I120948;C340089;Female;54;Shoes;4;2400.68;Debit Card;8/08/2021;Mall of Istanbul;9602.72;2021;8;2021-08;3;Senior
I173679;C555040;Male;27;Technology;3;3150;Credit Card;28/06/2021;Viaport Outlet;9450;2021;6;2021-06;2;Adult
I638275;C809281;Male;56;Clothing;5;1500.4;Credit Card;25/01/2021;Emaar Square Mall;7502;2021;1;2021-01;1;Senior
I551237;C375325;Female;53;Clothing;4;1200.32;Cash;22/11/2021;Metropol AVM;4801.28;2021;11;2021-11;4;Senior
I239285;C155335;Female;62;Cosmetics;3;121.98;Credit Card;13/11/2022;Viaport Outlet;365.94;2022;11;2022-11;4;Senior
I723062;C225051;Female;42;Clothing;4;1200.32;Credit Card;12/08/2022;Kanyon;4801.28;2022;8;2022-08;3;Adult
I353329;C635016;Female;68;Toys;2;71.68;Credit Card;18/09/2022;Metrocity;143.36;2022;9;2022-09;3;Senior
I321920;C165705;Male;27;Clothing;4;1200.32;Cash;8/06/2021;Mall of Istanbul;4801.28;2021;6;2021-06;2;Adult
I176115;C709571;Male;39;Cosmetics;4;162.64;Cash;30/08/2021;Viaport Outlet;650.56;2021;8;2021-08;3;Adult
I251743;C851508;Male;44;Toys;3;107.52;Debit Card;19/06/2022;Kanyon;322.56;2022;6;2022-06;2;Adult
I964173;C184126;Female;52;Clothing;3;900.24;Debit Card;15/12/2022;Emaar Square Mall;2700.72;2022;12;2022-12;4;Senior
I334389;C233642;Female;19;Cosmetics;2;81.32;Cash;29/12/2021;Mall of Istanbul;162.64;2021;12;2021-12;4;Young
I251855;C258410;Female;68;Cosmetics;3;121.98;Credit Card;19/06/2022;Cevahir AVM;365.94;2022;6;2022-06;2;Senior
I985808;C270667;Male;22;Books;5;75.75;Cash;16/06/2021;Emaar Square Mall;378.75;2021;6;2021-06;2;Young
I224565;C321527;Male;61;Shoes;1;600.17;Cash;7/02/2021;Emaar Square Mall;600.17;2021;2;2021-02;1;Senior
I239703;C109489;Male;23;Food & Beverage;3;15.69;Credit Card;17/01/2023;Kanyon;47.07;2023;1;2023-01;1;Young
I156413;C103824;Male;34;Cosmetics;5;203.3;Debit Card;20/01/2022;Metrocity;1016.5;2022;1;2022-01;1;Adult
I158683;C126571;Female;33;Souvenir;2;23.46;Debit Card;31/07/2022;Metrocity;46.92;2022;7;2022-07;3;Adult
I983860;C169676;Female;60;Shoes;1;600.17;Credit Card;30/09/2021;Metropol AVM;600.17;2021;9;2021-09;3;Senior
I119809;C321889;Female;24;Food & Beverage;1;5.23;Debit Card;6/04/2022;Zorlu Center;5.23;2022;4;2022-04;2;Young
I319942;C212128;Male;53;Cosmetics;5;203.3;Debit Card;14/11/2022;Mall of Istanbul;1016.5;2022;11;2022-11;4;Senior
I133278;C301271;Male;22;Clothing;3;900.24;Credit Card;24/02/2021;Metrocity;2700.72;2021;2;2021-02;1;Young
I252084;C221995;Male;50;Souvenir;4;46.92;Cash;25/05/2021;Metrocity;187.68;2021;5;2021-05;2;Senior
I182889;C318802;Male;49;Clothing;2;600.16;Credit Card;22/03/2021;Metrocity;1200.32;2021;3;2021-03;1;Senior
I106271;C263812;Male;31;Clothing;1;300.08;Debit Card;22/12/2022;Mall of Istanbul;300.08;2022;12;2022-12;4;Adult
I112481;C321609;Male;29;Food & Beverage;5;26.15;Cash;7/07/2021;Cevahir AVM;130.75;2021;7;2021-07;3;Adult
I240751;C666013;Female;52;Food & Beverage;1;5.23;Credit Card;18/09/2021;Kanyon;5.23;2021;9;2021-09;3;Senior
I282789;C172185;Female;67;Cosmetics;2;81.32;Cash;18/02/2022;Istinye Park;162.64;2022;2;2022-02;1;Senior
I676291;C150463;Female;50;Food & Beverage;2;10.46;Cash;13/06/2021;Metropol AVM;20.92;2021;6;2021-06;2;Senior
I827069;C274529;Female;58;Toys;5;179.2;Cash;30/05/2021;Mall of Istanbul;896;2021;5;2021-05;2;Senior
I242823;C242659;Female;50;Clothing;4;1200.32;Debit Card;26/03/2021;Metropol AVM;4801.28;2021;3;2021-03;1;Senior
I208631;C194451;Female;68;Technology;2;2100;Credit Card;27/07/2022;Kanyon;4200;2022;7;2022-07;3;Senior
I139308;C252600;Female;59;Souvenir;2;23.46;Credit Card;6/04/2022;Emaar Square Mall;46.92;2022;4;2022-04;2;Senior
I177201;C309645;Female;66;Clothing;5;1500.4;Cash;4/02/2022;Forum Istanbul;7502;2022;2;2022-02;1;Senior
I263818;C336232;Male;69;Souvenir;4;46.92;Cash;26/06/2022;Zorlu Center;187.68;2022;6;2022-06;2;Senior
I174966;C325906;Male;27;Food & Beverage;5;26.15;Cash;25/07/2022;Mall of Istanbul;130.75;2022;7;2022-07;3;Adult
I186896;C138755;Female;52;Toys;1;35.84;Credit Card;19/09/2021;Zorlu Center;35.84;2021;9;2021-09;3;Senior
I207465;C296745;Female;27;Clothing;2;600.16;Cash;10/10/2022;Istinye Park;1200.32;2022;10;2022-10;4;Adult
I191148;C221838;Female;43;Technology;2;2100;Credit Card;29/03/2022;Forum Istanbul;4200;2022;3;2022-03;1;Adult
I159487;C104985;Male;36;Clothing;1;300.08;Cash;9/07/2021;Emaar Square Mall;300.08;2021;7;2021-07;3;Adult
I215141;C826514;Female;19;Souvenir;1;11.73;Cash;25/01/2022;Kanyon;11.73;2022;1;2022-01;1;Young
I235828;C267333;Male;21;Books;5;75.75;Cash;14/12/2021;Metrocity;378.75;2021;12;2021-12;4;Young
I281274;C130479;Male;20;Clothing;1;300.08;Cash;4/09/2022;Kanyon;300.08;2022;9;2022-09;3;Young
I135898;C310108;Female;23;Toys;2;71.68;Debit Card;14/08/2022;Metropol AVM;143.36;2022;8;2022-08;3;Young
I943072;C358486;Female;52;Cosmetics;2;81.32;Cash;3/02/2022;Metrocity;162.64;2022;2;2022-02;1;Senior
I142738;C208738;Male;24;Clothing;4;1200.32;Credit Card;3/01/2021;Kanyon;4801.28;2021;1;2021-01;1;Young
I304665;C111056;Female;20;Food & Beverage;5;26.15;Credit Card;5/12/2021;Metropol AVM;130.75;2021;12;2021-12;4;Young
I133240;C999586;Male;58;Toys;3;107.52;Credit Card;14/06/2022;Zorlu Center;322.56;2022;6;2022-06;2;Senior
I215906;C296862;Male;21;Clothing;4;1200.32;Debit Card;13/08/2021;Mall of Istanbul;4801.28;2021;8;2021-08;3;Young
I247747;C101550;Male;35;Shoes;2;1200.34;Cash;11/01/2022;Istinye Park;2400.68;2022;1;2022-01;1;Adult
I227154;C278142;Female;29;Cosmetics;3;121.98;Cash;22/12/2021;Kanyon;365.94;2021;12;2021-12;4;Adult
I133197;C330779;Male;68;Cosmetics;2;81.32;Credit Card;4/02/2021;Forum Istanbul;162.64;2021;2;2021-02;1;Senior
I542618;C282968;Female;50;Cosmetics;3;121.98;Debit Card;22/02/2022;Emaar Square Mall;365.94;2022;2;2022-02;1;Senior
I522612;C852668;Female;44;Toys;3;107.52;Cash;14/09/2021;Kanyon;322.56;2021;9;2021-09;3;Adult
I336817;C274936;Female;47;Clothing;1;300.08;Cash;3/08/2021;Cevahir AVM;300.08;2021;8;2021-08;3;Senior
I216982;C269751;Female;48;Souvenir;4;46.92;Cash;2/01/2023;Metrocity;187.68;2023;1;2023-01;1;Senior
I317443;C136051;Female;39;Toys;1;35.84;Credit Card;23/11/2022;Mall of Istanbul;35.84;2022;11;2022-11;4;Adult
I115679;C266462;Male;27;Clothing;1;300.08;Cash;10/01/2023;Kanyon;300.08;2023;1;2023-01;1;Adult
I227707;C329163;Female;34;Shoes;4;2400.68;Cash;10/01/2022;Viaport Outlet;9602.72;2022;1;2022-01;1;Adult
I238456;C305398;Female;65;Food & Beverage;1;5.23;Cash;6/08/2022;Kanyon;5.23;2022;8;2022-08;3;Senior
I940840;C267961;Female;53;Cosmetics;2;81.32;Cash;19/02/2023;Istinye Park;162.64;2023;2;2023-02;1;Senior
I298805;C101248;Female;19;Food & Beverage;3;15.69;Credit Card;29/06/2021;Kanyon;47.07;2021;6;2021-06;2;Young
I169894;C165812;Female;19;Clothing;2;600.16;Cash;1/07/2021;Istinye Park;1200.32;2021;7;2021-07;3;Young
I183571;C339518;Female;31;Food & Beverage;1;5.23;Credit Card;7/02/2022;Metrocity;5.23;2022;2;2022-02;1;Adult
I921232;C235057;Female;43;Toys;2;71.68;Cash;10/10/2021;Cevahir AVM;143.36;2021;10;2021-10;4;Adult
I130799;C103944;Male;42;Clothing;3;900.24;Credit Card;30/06/2021;Metrocity;2700.72;2021;6;2021-06;2;Adult
I199384;C260889;Male;58;Books;4;60.6;Credit Card;24/03/2022;Kanyon;242.4;2022;3;2022-03;1;Senior
I300557;C207753;Female;34;Cosmetics;3;121.98;Debit Card;17/09/2022;Istinye Park;365.94;2022;9;2022-09;3;Adult
I162186;C204154;Female;32;Cosmetics;2;81.32;Debit Card;31/07/2021;Istinye Park;162.64;2021;7;2021-07;3;Adult
I299125;C290344;Male;27;Souvenir;4;46.92;Credit Card;21/11/2022;Kanyon;187.68;2022;11;2022-11;4;Adult
I720017;C730395;Female;28;Food & Beverage;2;10.46;Credit Card;4/09/2022;Kanyon;20.92;2022;9;2022-09;3;Adult
I293086;C312155;Male;55;Cosmetics;3;121.98;Credit Card;18/02/2021;Kanyon;365.94;2021;2;2021-02;1;Senior
I995407;C259743;Female;48;Souvenir;3;35.19;Cash;21/03/2021;Metropol AVM;105.57;2021;3;2021-03;1;Senior
I306845;C605200;Female;46;Food & Beverage;4;20.92;Credit Card;2/09/2022;Mall of Istanbul;83.68;2022;9;2022-09;3;Senior
I274190;C317850;Female;20;Toys;3;107.52;Cash;16/06/2021;Metropol AVM;322.56;2021;6;2021-06;2;Young
I305432;C986860;Male;39;Toys;3;107.52;Credit Card;26/01/2023;Mall of Istanbul;322.56;2023;1;2023-01;1;Adult
I224122;C236428;Male;44;Clothing;5;1500.4;Credit Card;1/07/2022;Mall of Istanbul;7502;2022;7;2022-07;3;Adult
I119142;C278588;Female;35;Cosmetics;5;203.3;Debit Card;25/01/2023;Cevahir AVM;1016.5;2023;1;2023-01;1;Adult
I117526;C154184;Male;48;Cosmetics;5;203.3;Credit Card;23/09/2022;Emaar Square Mall;1016.5;2022;9;2022-09;3;Senior
I195735;C287459;Female;22;Clothing;1;300.08;Credit Card;8/09/2021;Kanyon;300.08;2021;9;2021-09;3;Young
I243930;C617884;Female;52;Technology;3;3150;Debit Card;31/10/2022;Istinye Park;9450;2022;10;2022-10;4;Senior
I320007;C294024;Male;45;Clothing;5;1500.4;Debit Card;18/10/2021;Metrocity;7502;2021;10;2021-10;4;Adult
I339004;C790567;Male;64;Clothing;4;1200.32;Credit Card;15/07/2022;Mall of Istanbul;4801.28;2022;7;2022-07;3;Senior
I139437;C799447;Male;38;Souvenir;5;58.65;Credit Card;31/05/2021;Mall of Istanbul;293.25;2021;5;2021-05;2;Adult
I325491;C144628;Female;45;Shoes;2;1200.34;Cash;22/12/2021;Kanyon;2400.68;2021;12;2021-12;4;Adult
I332582;C260810;Female;41;Souvenir;5;58.65;Cash;28/10/2022;Metropol AVM;293.25;2022;10;2022-10;4;Adult
I976566;C670524;Female;57;Cosmetics;1;40.66;Cash;13/06/2021;Forum Istanbul;40.66;2021;6;2021-06;2;Senior
I420592;C334281;Male;57;Food & Beverage;4;20.92;Debit Card;25/09/2022;Kanyon;83.68;2022;9;2022-09;3;Senior
I312499;C314173;Female;60;Books;1;15.15;Credit Card;18/08/2021;Mall of Istanbul;15.15;2021;8;2021-08;3;Senior
I304591;C122712;Female;44;Food & Beverage;2;10.46;Debit Card;16/09/2021;Kanyon;20.92;2021;9;2021-09;3;Adult
I122118;C276111;Male;38;Cosmetics;5;203.3;Cash;15/11/2022;Metrocity;1016.5;2022;11;2022-11;4;Adult
I297539;C277924;Male;65;Food & Beverage;3;15.69;Credit Card;7/08/2021;Mall of Istanbul;47.07;2021;8;2021-08;3;Senior
I339496;C286466;Male;30;Clothing;1;300.08;Debit Card;25/05/2021;Metropol AVM;300.08;2021;5;2021-05;2;Adult
I160687;C327001;Female;50;Clothing;2;600.16;Debit Card;12/07/2022;Istinye Park;1200.32;2022;7;2022-07;3;Senior
I153842;C509924;Female;19;Food & Beverage;3;15.69;Credit Card;14/09/2022;Forum Istanbul;47.07;2022;9;2022-09;3;Young
I615452;C453635;Male;26;Shoes;1;600.17;Debit Card;6/03/2022;Metrocity;600.17;2022;3;2022-03;1;Adult
I908600;C259539;Female;54;Cosmetics;4;162.64;Credit Card;23/02/2023;Forum Istanbul;650.56;2023;2;2023-02;1;Senior
I708279;C729392;Female;63;Cosmetics;3;121.98;Credit Card;25/06/2021;Emaar Square Mall;365.94;2021;6;2021-06;2;Senior
I328691;C280085;Female;66;Clothing;2;600.16;Debit Card;31/07/2022;Metrocity;1200.32;2022;7;2022-07;3;Senior
I423782;C767634;Female;48;Cosmetics;2;81.32;Debit Card;8/04/2021;Mall of Istanbul;162.64;2021;4;2021-04;2;Senior
I123315;C230018;Male;46;Clothing;2;600.16;Debit Card;1/04/2021;Zorlu Center;1200.32;2021;4;2021-04;2;Senior
I182578;C238063;Male;54;Shoes;4;2400.68;Cash;13/02/2022;Kanyon;9602.72;2022;2;2022-02;1;Senior
I403818;C308584;Male;62;Books;5;75.75;Cash;15/06/2022;Viaport Outlet;378.75;2022;6;2022-06;2;Senior
I508712;C216619;Female;64;Toys;3;107.52;Credit Card;19/07/2022;Mall of Istanbul;322.56;2022;7;2022-07;3;Senior
I959992;C241523;Male;55;Food & Beverage;3;15.69;Cash;1/07/2022;Metrocity;47.07;2022;7;2022-07;3;Senior
I279688;C209761;Female;20;Clothing;1;300.08;Credit Card;19/06/2021;Cevahir AVM;300.08;2021;6;2021-06;2;Young
I300847;C329153;Male;41;Toys;5;179.2;Credit Card;11/01/2022;Istinye Park;896;2022;1;2022-01;1;Adult
I170966;C126702;Male;54;Food & Beverage;5;26.15;Credit Card;5/12/2022;Istinye Park;130.75;2022;12;2022-12;4;Senior
I230221;C287787;Male;34;Clothing;1;300.08;Cash;21/04/2021;Metropol AVM;300.08;2021;4;2021-04;2;Adult
I317354;C142943;Female;31;Clothing;1;300.08;Cash;10/11/2021;Metropol AVM;300.08;2021;11;2021-11;4;Adult
I155404;C100484;Male;48;Toys;4;143.36;Cash;19/09/2022;Metrocity;573.44;2022;9;2022-09;3;Senior
I151181;C260213;Female;44;Clothing;2;600.16;Debit Card;18/01/2021;Emaar Square Mall;1200.32;2021;1;2021-01;1;Adult
I144046;C210589;Female;42;Shoes;1;600.17;Credit Card;21/04/2022;Kanyon;600.17;2022;4;2022-04;2;Adult
I959386;C885556;Male;25;Shoes;1;600.17;Credit Card;25/11/2022;Mall of Istanbul;600.17;2022;11;2022-11;4;Adult
I737965;C944366;Male;64;Clothing;5;1500.4;Cash;9/11/2022;Kanyon;7502;2022;11;2022-11;4;Senior
I194017;C462011;Female;67;Technology;5;5250;Cash;3/01/2022;Kanyon;26250;2022;1;2022-01;1;Senior
I252777;C262366;Female;55;Clothing;2;600.16;Cash;19/02/2022;Zorlu Center;1200.32;2022;2;2022-02;1;Senior
I254142;C212400;Female;62;Shoes;3;1800.51;Credit Card;15/12/2022;Emaar Square Mall;5401.53;2022;12;2022-12;4;Senior
I120850;C204307;Female;54;Clothing;2;600.16;Credit Card;8/11/2021;Metrocity;1200.32;2021;11;2021-11;4;Senior
I220285;C162871;Female;43;Food & Beverage;4;20.92;Credit Card;1/05/2022;Kanyon;83.68;2022;5;2022-05;2;Adult
I180980;C119825;Female;30;Clothing;2;600.16;Cash;14/04/2021;Forum Istanbul;1200.32;2021;4;2021-04;2;Adult
I301451;C260171;Female;58;Cosmetics;5;203.3;Debit Card;28/06/2021;Kanyon;1016.5;2021;6;2021-06;2;Senior
I125700;C244973;Male;49;Shoes;5;3000.85;Credit Card;10/06/2022;Forum Istanbul;15004.25;2022;6;2022-06;2;Senior
I533062;C208765;Female;49;Clothing;3;900.24;Cash;12/05/2022;Mall of Istanbul;2700.72;2022;5;2022-05;2;Senior
I998874;C321053;Female;19;Clothing;5;1500.4;Debit Card;27/12/2022;Mall of Istanbul;7502;2022;12;2022-12;4;Young
I325619;C183356;Female;58;Food & Beverage;1;5.23;Debit Card;16/08/2021;Kanyon;5.23;2021;8;2021-08;3;Senior
I200646;C155763;Female;49;Food & Beverage;2;10.46;Credit Card;5/03/2021;Kanyon;20.92;2021;3;2021-03;1;Senior
I337094;C567509;Female;50;Technology;1;1050;Cash;9/02/2023;Zorlu Center;1050;2023;2;2023-02;1;Senior
I436935;C486241;Female;21;Cosmetics;4;162.64;Cash;26/02/2023;Istinye Park;650.56;2023;2;2023-02;1;Young
I585560;C306892;Male;21;Shoes;2;1200.34;Cash;17/02/2023;Mall of Istanbul;2400.68;2023;2;2023-02;1;Young
I191967;C266819;Male;63;Cosmetics;5;203.3;Credit Card;8/08/2022;Kanyon;1016.5;2022;8;2022-08;3;Senior
I304567;C317897;Male;30;Souvenir;2;23.46;Credit Card;8/03/2023;Forum Istanbul;46.92;2023;3;2023-03;1;Adult
I232809;C545424;Male;66;Shoes;5;3000.85;Credit Card;2/10/2021;Metrocity;15004.25;2021;10;2021-10;4;Senior
I157441;C224223;Female;23;Food & Beverage;4;20.92;Cash;22/12/2021;Mall of Istanbul;83.68;2021;12;2021-12;4;Young
I591015;C286181;Female;69;Clothing;1;300.08;Cash;12/09/2021;Metrocity;300.08;2021;9;2021-09;3;Senior
I219334;C144371;Female;45;Shoes;4;2400.68;Credit Card;23/03/2022;Kanyon;9602.72;2022;3;2022-03;1;Adult
I162719;C402433;Male;53;Clothing;5;1500.4;Credit Card;11/12/2021;Emaar Square Mall;7502;2021;12;2021-12;4;Senior
I237375;C297425;Female;50;Books;1;15.15;Cash;29/12/2022;Istinye Park;15.15;2022;12;2022-12;4;Senior
I289611;C222906;Female;45;Clothing;3;900.24;Debit Card;8/03/2023;Cevahir AVM;2700.72;2023;3;2023-03;1;Adult
I217650;C236397;Female;47;Food & Beverage;3;15.69;Debit Card;10/02/2021;Forum Istanbul;47.07;2021;2;2021-02;1;Senior
I214129;C309079;Female;36;Clothing;1;300.08;Debit Card;10/05/2021;Metrocity;300.08;2021;5;2021-05;2;Adult
I300799;C116633;Female;61;Food & Beverage;3;15.69;Cash;6/03/2022;Metropol AVM;47.07;2022;3;2022-03;1;Senior
I163771;C259606;Female;46;Toys;4;143.36;Credit Card;29/03/2021;Mall of Istanbul;573.44;2021;3;2021-03;1;Senior
I252528;C333065;Male;47;Technology;5;5250;Debit Card;4/10/2022;Cevahir AVM;26250;2022;10;2022-10;4;Senior
I147387;C211494;Female;38;Clothing;5;1500.4;Cash;4/11/2021;Mall of Istanbul;7502;2021;11;2021-11;4;Adult
I186255;C302831;Female;41;Clothing;1;300.08;Credit Card;8/11/2022;Kanyon;300.08;2022;11;2022-11;4;Adult
I308341;C282397;Male;29;Clothing;4;1200.32;Cash;17/05/2021;Istinye Park;4801.28;2021;5;2021-05;2;Adult
I177664;C233697;Female;58;Cosmetics;3;121.98;Credit Card;16/06/2022;Kanyon;365.94;2022;6;2022-06;2;Senior
I278519;C129976;Male;69;Technology;3;3150;Debit Card;24/09/2022;Cevahir AVM;9450;2022;9;2022-09;3;Senior
I160636;C812053;Female;53;Cosmetics;4;162.64;Cash;4/04/2022;Metropol AVM;650.56;2022;4;2022-04;2;Senior
I306136;C324783;Male;26;Food & Beverage;1;5.23;Cash;18/10/2022;Metrocity;5.23;2022;10;2022-10;4;Adult
I240224;C281502;Male;53;Food & Beverage;1;5.23;Cash;16/10/2021;Mall of Istanbul;5.23;2021;10;2021-10;4;Senior
I227030;C433234;Female;63;Clothing;4;1200.32;Credit Card;17/05/2021;Istinye Park;4801.28;2021;5;2021-05;2;Senior
I258204;C167183;Female;54;Clothing;1;300.08;Credit Card;3/02/2023;Emaar Square Mall;300.08;2023;2;2023-02;1;Senior
I231070;C311195;Female;54;Clothing;5;1500.4;Debit Card;15/11/2022;Forum Istanbul;7502;2022;11;2022-11;4;Senior
I434983;C107399;Male;45;Souvenir;2;23.46;Credit Card;29/07/2021;Istinye Park;46.92;2021;7;2021-07;3;Adult
I326925;C992967;Female;62;Toys;4;143.36;Credit Card;17/07/2021;Kanyon;573.44;2021;7;2021-07;3;Senior
I183840;C246719;Female;18;Clothing;1;300.08;Credit Card;8/03/2022;Viaport Outlet;300.08;2022;3;2022-03;1;Young
I533184;C220859;Female;44;Shoes;5;3000.85;Credit Card;22/09/2022;Zorlu Center;15004.25;2022;9;2022-09;3;Adult
I735039;C285422;Male;50;Clothing;1;300.08;Cash;1/08/2022;Metropol AVM;300.08;2022;8;2022-08;3;Senior
I319997;C217049;Male;31;Clothing;5;1500.4;Credit Card;3/04/2021;Istinye Park;7502;2021;4;2021-04;2;Adult
I228150;C141094;Male;62;Clothing;5;1500.4;Cash;21/11/2021;Zorlu Center;7502;2021;11;2021-11;4;Senior
I215373;C310628;Female;20;Clothing;5;1500.4;Debit Card;17/09/2021;Kanyon;7502;2021;9;2021-09;3;Young
I275695;C297711;Female;65;Books;5;75.75;Cash;9/08/2022;Mall of Istanbul;378.75;2022;8;2022-08;3;Senior
I107255;C211354;Female;63;Souvenir;1;11.73;Cash;8/09/2021;Metrocity;11.73;2021;9;2021-09;3;Senior
I301538;C281864;Female;57;Food & Beverage;4;20.92;Cash;8/10/2021;Mall of Istanbul;83.68;2021;10;2021-10;4;Senior
I119469;C234177;Female;59;Clothing;1;300.08;Debit Card;3/03/2021;Metropol AVM;300.08;2021;3;2021-03;1;Senior
I678313;C335822;Female;44;Clothing;4;1200.32;Debit Card;26/12/2021;Zorlu Center;4801.28;2021;12;2021-12;4;Adult
I264491;C107261;Female;63;Cosmetics;5;203.3;Credit Card;13/02/2023;Metropol AVM;1016.5;2023;2;2023-02;1;Senior
I177957;C653357;Male;65;Clothing;4;1200.32;Cash;4/07/2021;Cevahir AVM;4801.28;2021;7;2021-07;3;Senior
I188384;C327084;Female;68;Clothing;1;300.08;Cash;26/01/2021;Istinye Park;300.08;2021;1;2021-01;1;Senior
I527111;C218706;Female;21;Food & Beverage;2;10.46;Debit Card;5/10/2022;Metropol AVM;20.92;2022;10;2022-10;4;Young
I152252;C321931;Female;33;Books;5;75.75;Credit Card;5/04/2021;Mall of Istanbul;378.75;2021;4;2021-04;2;Adult
I131076;C403983;Female;23;Souvenir;2;23.46;Cash;27/03/2021;Metrocity;46.92;2021;3;2021-03;1;Young
I151031;C137912;Female;49;Souvenir;5;58.65;Cash;21/11/2022;Mall of Istanbul;293.25;2022;11;2022-11;4;Senior
I638444;C229733;Male;57;Shoes;2;1200.34;Credit Card;21/02/2022;Metropol AVM;2400.68;2022;2;2022-02;1;Senior
I884439;C304835;Female;54;Toys;4;143.36;Credit Card;22/08/2022;Kanyon;573.44;2022;8;2022-08;3;Senior
I381853;C124933;Female;41;Cosmetics;3;121.98;Credit Card;6/12/2022;Emaar Square Mall;365.94;2022;12;2022-12;4;Adult
I104404;C111115;Female;21;Shoes;3;1800.51;Cash;25/03/2021;Kanyon;5401.53;2021;3;2021-03;1;Young
I926542;C248988;Female;45;Toys;1;35.84;Debit Card;5/03/2021;Kanyon;35.84;2021;3;2021-03;1;Adult
